Exp: 1 - 	 Ger: 24 - 	 Best:    0.15837 - 	 Mean:    0.16267 - 	 AQreal:    3.48266  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.15837 - 	 Mean:    0.16257 - 	 AQreal:    4.33785  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.15837 - 	 Mean:    0.16244 - 	 AQreal:    4.33785  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.15837 - 	 Mean:    0.16225 - 	 AQreal:    4.33785  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.15837 - 	 Mean:    0.16224 - 	 AQreal:    4.33785  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.15837 - 	 Mean:    0.16210 - 	 AQreal:    4.33785  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.15837 - 	 Mean:    0.16205 - 	 AQreal:    4.12831  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.15532 - 	 Mean:    0.16179 - 	 AQreal:    4.12831  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    0.15532 - 	 Mean:    0.16147 - 	 AQreal:    4.12831  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    0.15532 - 	 Mean:    0.16144 - 	 AQreal:    4.12831  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    0.15532 - 	 Mean:    0.16140 - 	 AQreal:    4.12831  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    0.15532 - 	 Mean:    0.16139 - 	 AQreal:    3.69189  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    0.15532 - 	 Mean:    0.16138 - 	 AQreal:    3.69189  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    0.15532 - 	 Mean:    0.16132 - 	 AQreal:    3.69189  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    0.15532 - 	 Mean:    0.16121 - 	 AQreal:    3.69189  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    0.15532 - 	 Mean:    0.16105 - 	 AQreal:    3.69189  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    0.15532 - 	 Mean:    0.16074 - 	 AQreal:    4.57940  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    0.15532 - 	 Mean:    0.16048 - 	 AQreal:    4.57940  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    0.15532 - 	 Mean:    0.16048 - 	 AQreal:    4.57940  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    0.15532 - 	 Mean:    0.16043 - 	 AQreal:    4.57940  	 
