Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 1 - 	 Ger: 87 - 	 Best:    0.08396 - 	 Mean:    0.08725 - 	 AQreal:    0.25585  	 
Exp: 1 - 	 Ger: 88 - 	 Best:    0.08396 - 	 Mean:    0.08719 - 	 AQreal:    0.25585  	 
Exp: 1 - 	 Ger: 89 - 	 Best:    0.08396 - 	 Mean:    0.08697 - 	 AQreal:    0.25585  	 
Exp: 1 - 	 Ger: 90 - 	 Best:    0.08396 - 	 Mean:    0.08693 - 	 AQreal:    0.25547  	 
Exp: 1 - 	 Ger: 91 - 	 Best:    0.08396 - 	 Mean:    0.08665 - 	 AQreal:    0.25547  	 
Exp: 1 - 	 Ger: 92 - 	 Best:    0.08396 - 	 Mean:    0.08659 - 	 AQreal:    0.25547  	 
Exp: 1 - 	 Ger: 93 - 	 Best:    0.08396 - 	 Mean:    0.08639 - 	 AQreal:    0.25547  	 
Exp: 1 - 	 Ger: 94 - 	 Best:    0.08396 - 	 Mean:    0.08632 - 	 AQreal:    0.25547  	 
Exp: 1 - 	 Ger: 95 - 	 Best:    0.08396 - 	 Mean:    0.08627 - 	 AQreal:    0.23955  	 
Exp: 1 - 	 Ger: 96 - 	 Best:    0.08285 - 	 Mean:    0.08583 - 	 AQreal:    0.23955  	 
Exp: 1 - 	 Ger: 97 - 	 Best:    0.08285 - 	 Mean:    0.08575 - 	 AQreal:    0.23955  	 
Exp: 1 - 	 Ger: 98 - 	 Best:    0.08285 - 	 Mean:    0.08568 - 	 AQreal:    0.23955  	 
Exp: 1 - 	 Ger: 99 - 	 Best:    0.08285 - 	 Mean:    0.08562 - 	 AQreal:    0.23955  	 
Exp: 1 - 	 Ger: 100 - 	 Best:    0.08285 - 	 Mean:    0.08550 - 	 AQreal:    0.22093  	 


             Etapa 1

Exp 1 - Aptidao: 0.109993

Aptidão Média: 0.109993

Aptidão Desvio: 0.000000

Tempo Total(1 experimentos): 1886.354472 s


             Etapa 2 - Random

                RMSE

Exp 1 - Treinamento: 0.076515  Validacao: 0.104478  Teste: 0.140897  SRG: 0.438560

Média: Treinamento: 0.076515  Validacao: 0.104478  Teste: 0.140897

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.076515  Validacao: 0.104478  Teste: 0.140897  SRG: 0.438560

                fit

Exp 1 - Treinamento: 91.474708  Validacao: 84.833337  Teste: 82.884867  SRG: 0.438560

Média: Treinamento: 91.474708  Validacao: 84.833337  Teste: 82.884867

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 91.474708  Validacao: 84.833337  Teste: 82.884867  SRG: 0.438560
                RRSE

Exp 1 - Treinamento: 0.085253  Validacao: 0.151667  Teste: 0.171151  SRG: 0.438560

Média: Treinamento: 0.085253  Validacao: 0.151667  Teste: 0.171151

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

